,Date,Day,counts,type,country
300,9/7/2014,169,1424.0,Cases,SierraLeone
301,9/5/2014,167,1261.0,Cases,SierraLeone
302,8/31/2014,162,1216.0,Cases,SierraLeone
303,8/26/2014,157,1026.0,Cases,SierraLeone
304,8/20/2014,151,910.0,Cases,SierraLeone
305,8/18/2014,149,907.0,Cases,SierraLeone
306,8/16/2014,147,848.0,Cases,SierraLeone
307,8/13/2014,144,810.0,Cases,SierraLeone
308,8/11/2014,142,783.0,Cases,SierraLeone
309,8/9/2014,140,730.0,Cases,SierraLeone
310,8/6/2014,137,717.0,Cases,SierraLeone
311,8/4/2014,135,691.0,Cases,SierraLeone
312,8/1/2014,132,646.0,Cases,SierraLeone
313,7/30/2014,129,574.0,Cases,SierraLeone
314,7/27/2014,126,533.0,Cases,SierraLeone
315,7/23/2014,123,525.0,Cases,SierraLeone
316,7/20/2014,120,454.0,Cases,SierraLeone
317,7/17/2014,117,442.0,Cases,SierraLeone
318,7/14/2014,114,397.0,Cases,SierraLeone
319,7/12/2014,112,386.0,Cases,SierraLeone
320,7/8/2014,108,337.0,Cases,SierraLeone
321,7/6/2014,106,305.0,Cases,SierraLeone
322,7/2/2014,102,252.0,Cases,SierraLeone
323,6/30/2014,100,239.0,Cases,SierraLeone
324,6/22/2014,92,,Cases,SierraLeone
325,6/20/2014,90,158.0,Cases,SierraLeone
326,6/19/2014,89,,Cases,SierraLeone
327,6/18/2014,88,136.0,Cases,SierraLeone
328,6/17/2014,87,97.0,Cases,SierraLeone
329,6/16/2014,86,,Cases,SierraLeone
330,6/10/2014,80,89.0,Cases,SierraLeone
331,6/5/2014,75,81.0,Cases,SierraLeone
332,6/3/2014,73,,Cases,SierraLeone
333,6/1/2014,71,79.0,Cases,SierraLeone
334,5/28/2014,67,50.0,Cases,SierraLeone
335,5/27/2014,66,16.0,Cases,SierraLeone
336,5/23/2014,62,0.0,Cases,SierraLeone
337,5/12/2014,51,0.0,Cases,SierraLeone
338,5/10/2014,49,0.0,Cases,SierraLeone
339,5/7/2014,46,0.0,Cases,SierraLeone
340,5/5/2014,44,0.0,Cases,SierraLeone
341,5/3/2014,42,0.0,Cases,SierraLeone
342,5/1/2014,40,0.0,Cases,SierraLeone
343,4/26/2014,35,0.0,Cases,SierraLeone
344,4/24/2014,33,0.0,Cases,SierraLeone
345,4/23/2014,32,0.0,Cases,SierraLeone
346,4/22/2014,31,0.0,Cases,SierraLeone
347,4/21/2014,30,,Cases,SierraLeone
348,4/20/2014,29,,Cases,SierraLeone
349,4/17/2014,26,,Cases,SierraLeone
350,4/16/2014,25,,Cases,SierraLeone
351,4/15/2014,24,12.0,Cases,SierraLeone
352,4/14/2014,23,,Cases,SierraLeone
353,4/11/2014,20,2.0,Cases,SierraLeone
354,4/9/2014,18,2.0,Cases,SierraLeone
355,4/7/2014,16,2.0,Cases,SierraLeone
356,4/4/2014,13,2.0,Cases,SierraLeone
357,4/1/2014,10,2.0,Cases,SierraLeone
358,3/31/2014,9,2.0,Cases,SierraLeone
359,3/29/2014,7,,Cases,SierraLeone
360,3/28/2014,6,2.0,Cases,SierraLeone
361,3/27/2014,5,6.0,Cases,SierraLeone
362,3/26/2014,4,,Cases,SierraLeone
363,3/25/2014,3,,Cases,SierraLeone
364,3/24/2014,2,,Cases,SierraLeone
365,3/22/2014,0,,Cases,SierraLeone
366,1/5/2015,289,,Cases,Nigeria
367,1/4/2015,288,,Cases,Nigeria
368,1/3/2015,287,,Cases,Nigeria
369,1/2/2015,286,,Cases,Nigeria
370,12/31/2014,284,,Cases,Nigeria
371,12/28/2014,281,,Cases,Nigeria
372,12/27/2014,280,,Cases,Nigeria
373,12/24/2014,277,,Cases,Nigeria
374,12/21/2014,273,,Cases,Nigeria
375,12/20/2014,272,,Cases,Nigeria
376,12/18/2014,271,,Cases,Nigeria
377,12/14/2014,267,,Cases,Nigeria
378,12/9/2014,262,,Cases,Nigeria
379,12/7/2014,260,20.0,Cases,Nigeria
380,12/3/2014,256,,Cases,Nigeria
381,11/30/2014,253,20.0,Cases,Nigeria
382,11/28/2014,251,,Cases,Nigeria
383,11/23/2014,246,20.0,Cases,Nigeria
384,11/22/2014,245,,Cases,Nigeria
385,11/18/2014,241,20.0,Cases,Nigeria
386,11/16/2014,239,20.0,Cases,Nigeria
387,11/15/2014,238,,Cases,Nigeria
388,11/11/2014,234,20.0,Cases,Nigeria
389,11/10/2014,233,,Cases,Nigeria
390,11/9/2014,232,20.0,Cases,Nigeria
391,11/8/2014,231,,Cases,Nigeria
392,11/4/2014,227,20.0,Cases,Nigeria
393,11/3/2014,226,,Cases,Nigeria
394,11/2/2014,225,20.0,Cases,Nigeria
395,10/31/2014,222,,Cases,Nigeria
396,10/29/2014,220,20.0,Cases,Nigeria
397,10/27/2014,218,20.0,Cases,Nigeria
398,10/25/2014,216,,Cases,Nigeria
399,10/22/2014,214,,Cases,Nigeria
400,10/21/2014,213,,Cases,Nigeria
401,10/19/2014,211,20.0,Cases,Nigeria
402,10/18/2014,210,,Cases,Nigeria
403,10/14/2014,206,20.0,Cases,Nigeria
404,10/13/2014,205,,Cases,Nigeria
405,10/12/2014,204,20.0,Cases,Nigeria
406,10/11/2014,203,,Cases,Nigeria
407,10/8/2014,200,20.0,Cases,Nigeria
408,10/7/2014,199,,Cases,Nigeria
409,10/5/2014,197,20.0,Cases,Nigeria
410,10/4/2014,196,,Cases,Nigeria
411,10/1/2014,193,20.0,Cases,Nigeria
412,9/28/2014,190,20.0,Cases,Nigeria
413,9/23/2014,185,20.0,Cases,Nigeria
414,9/21/2014,183,20.0,Cases,Nigeria
415,9/20/2014,182,,Cases,Nigeria
416,9/19/2014,181,,Cases,Nigeria
417,9/17/2014,179,,Cases,Nigeria
418,9/14/2014,176,,Cases,Nigeria
419,9/13/2014,175,21.0,Cases,Nigeria
420,9/10/2014,172,21.0,Cases,Nigeria
421,9/9/2014,171,,Cases,Nigeria
422,9/7/2014,169,21.0,Cases,Nigeria
423,9/5/2014,167,22.0,Cases,Nigeria
424,8/31/2014,162,21.0,Cases,Nigeria
425,8/26/2014,157,17.0,Cases,Nigeria
426,8/20/2014,151,16.0,Cases,Nigeria
427,8/18/2014,149,15.0,Cases,Nigeria
428,8/16/2014,147,15.0,Cases,Nigeria
429,8/13/2014,144,12.0,Cases,Nigeria
430,8/11/2014,142,12.0,Cases,Nigeria
431,8/9/2014,140,13.0,Cases,Nigeria
432,8/6/2014,137,13.0,Cases,Nigeria
433,8/4/2014,135,9.0,Cases,Nigeria
434,8/1/2014,132,4.0,Cases,Nigeria
435,7/30/2014,129,3.0,Cases,Nigeria
436,7/27/2014,126,1.0,Cases,Nigeria
437,7/23/2014,123,0.0,Cases,Nigeria
438,7/20/2014,120,,Cases,Nigeria
439,7/17/2014,117,,Cases,Nigeria
440,7/14/2014,114,,Cases,Nigeria
441,7/12/2014,112,,Cases,Nigeria
442,7/8/2014,108,,Cases,Nigeria
443,7/6/2014,106,,Cases,Nigeria
444,7/2/2014,102,,Cases,Nigeria
445,6/30/2014,100,,Cases,Nigeria
446,6/22/2014,92,,Cases,Nigeria
447,6/20/2014,90,,Cases,Nigeria
448,6/19/2014,89,,Cases,Nigeria
449,6/18/2014,88,,Cases,Nigeria
450,6/17/2014,87,,Cases,Nigeria
451,6/16/2014,86,,Cases,Nigeria
452,6/10/2014,80,,Cases,Nigeria
453,6/5/2014,75,,Cases,Nigeria
454,6/3/2014,73,,Cases,Nigeria
455,6/1/2014,71,,Cases,Nigeria
456,5/28/2014,67,,Cases,Nigeria
457,5/27/2014,66,,Cases,Nigeria
458,5/23/2014,62,,Cases,Nigeria
459,5/12/2014,51,,Cases,Nigeria
460,5/10/2014,49,,Cases,Nigeria
461,5/7/2014,46,,Cases,Nigeria
462,5/5/2014,44,,Cases,Nigeria
463,5/3/2014,42,,Cases,Nigeria
464,5/1/2014,40,,Cases,Nigeria
465,4/26/2014,35,,Cases,Nigeria
466,4/24/2014,33,,Cases,Nigeria
467,4/23/2014,32,,Cases,Nigeria
468,4/22/2014,31,,Cases,Nigeria
469,4/21/2014,30,,Cases,Nigeria
470,4/20/2014,29,,Cases,Nigeria
471,4/17/2014,26,,Cases,Nigeria
472,4/16/2014,25,,Cases,Nigeria
473,4/15/2014,24,,Cases,Nigeria
474,4/14/2014,23,,Cases,Nigeria
475,4/11/2014,20,,Cases,Nigeria
476,4/9/2014,18,,Cases,Nigeria
477,4/7/2014,16,,Cases,Nigeria
478,4/4/2014,13,,Cases,Nigeria
479,4/1/2014,10,,Cases,Nigeria
480,3/31/2014,9,,Cases,Nigeria
481,3/29/2014,7,,Cases,Nigeria
482,3/28/2014,6,,Cases,Nigeria
483,3/27/2014,5,,Cases,Nigeria
484,3/26/2014,4,,Cases,Nigeria
485,3/25/2014,3,,Cases,Nigeria
486,3/24/2014,2,,Cases,Nigeria
487,3/22/2014,0,,Cases,Nigeria
488,1/5/2015,289,,Cases,Senegal
489,1/4/2015,288,,Cases,Senegal
490,1/3/2015,287,,Cases,Senegal
491,1/2/2015,286,,Cases,Senegal
492,12/31/2014,284,,Cases,Senegal
493,12/28/2014,281,,Cases,Senegal
494,12/27/2014,280,,Cases,Senegal
495,12/24/2014,277,,Cases,Senegal
496,12/21/2014,273,,Cases,Senegal
497,12/20/2014,272,,Cases,Senegal
498,12/18/2014,271,,Cases,Senegal
499,12/14/2014,267,,Cases,Senegal
500,12/9/2014,262,,Cases,Senegal
501,12/7/2014,260,1.0,Cases,Senegal
502,12/3/2014,256,,Cases,Senegal
503,11/30/2014,253,1.0,Cases,Senegal
504,11/28/2014,251,,Cases,Senegal
505,11/23/2014,246,1.0,Cases,Senegal
506,11/22/2014,245,,Cases,Senegal
507,11/18/2014,241,1.0,Cases,Senegal
508,11/16/2014,239,1.0,Cases,Senegal
509,11/15/2014,238,,Cases,Senegal
510,11/11/2014,234,1.0,Cases,Senegal
511,11/10/2014,233,,Cases,Senegal
512,11/9/2014,232,1.0,Cases,Senegal
513,11/8/2014,231,,Cases,Senegal
514,11/4/2014,227,1.0,Cases,Senegal
515,11/3/2014,226,,Cases,Senegal
516,11/2/2014,225,1.0,Cases,Senegal
517,10/31/2014,222,,Cases,Senegal
518,10/29/2014,220,1.0,Cases,Senegal
519,10/27/2014,218,1.0,Cases,Senegal
520,10/25/2014,216,,Cases,Senegal
521,10/22/2014,214,,Cases,Senegal
522,10/21/2014,213,,Cases,Senegal
523,10/19/2014,211,1.0,Cases,Senegal
